sweet:propEnergyFlux/LuminousFlux	luminous flux	odm:luminousFlux	Luminous Flux	luminous flux		info(label-label,rdf(sweet:propEnergyFlux/LuminousFlux-luminous flux,rdfs:label,(luminous flux-luminous flux)@en)-rdf(odm:luminousFlux-Luminous Flux,skos:prefLabel,Luminous Flux-Luminous Flux^^xsd:string),downcase)	
sweet:propFraction/Albedo	albedo	odm:albedo	Albedo	albedo		info(label-label,rdf(sweet:propFraction/Albedo-albedo,rdfs:label,(albedo-albedo)@en)-rdf(odm:albedo-Albedo,skos:prefLabel,Albedo-Albedo^^xsd:string),downcase)	
sweet:propFraction/Porosity	porosity	odm:porosity	Porosity	poros		info(label-label,rdf(sweet:propFraction/Porosity-porosity,rdfs:label,(porosity-porosity)@en)-rdf(odm:porosity-Porosity,skos:prefLabel,Porosity-Porosity^^xsd:string),stem)	
sweet:propFraction/RelativeHumidity	relative humidity	odm:relativeHumidity	Relative humidity	relative humid		info(label-label,rdf(sweet:propFraction/RelativeHumidity-relative humidity,rdfs:label,(relative humidity-relative humidity)@en)-rdf(odm:relativeHumidity-Relative humidity,skos:prefLabel,Relative humidity-Relative humidity^^xsd:string),stem)	
sweet:propFunction/Threshold	threshold	odm:threshold	Threshold	threshold		info(label-label,rdf(sweet:propFunction/Threshold-threshold,rdfs:label,(threshold-threshold)@en)-rdf(odm:threshold-Threshold,skos:prefLabel,Threshold-Threshold^^xsd:string),downcase)	
sweet:propIndex/Turbidity	turbidity	odm:turbidity	Turbidity	turbid		info(label-label,rdf(sweet:propIndex/Turbidity-turbidity,rdfs:label,(turbidity-turbidity)@en)-rdf(odm:turbidity-Turbidity,skos:prefLabel,Turbidity-Turbidity^^xsd:string),stem)	
sweet:propMass/BulkDensity	bulk density	odm:bulkDensity	Bulk density	bulk dens		info(label-label,rdf(sweet:propMass/BulkDensity-bulk density,rdfs:label,(bulk density-bulk density)@en)-rdf(odm:bulkDensity-Bulk density,skos:prefLabel,Bulk density-Bulk density^^xsd:string),stem)	
sweet:propMass/Density	density	odm:density	Density	densiti		info(label-label,rdf(sweet:propMass/Density-density,rdfs:label,(density-density)@en)-rdf(odm:density-Density,skos:prefLabel,Density-Density^^xsd:string),stem)	
sweet:propMass/Mass	mass	odm:mass	Mass	mass		info(label-label,rdf(sweet:propMass/Mass-mass,rdfs:label,(mass-mass)@en)-rdf(odm:mass-Mass,skos:prefLabel,Mass-Mass^^xsd:string),downcase)	
sweet:propOrdinal/Color	color	odm:color	Color	color		info(label-label,rdf(sweet:propOrdinal/Color-color,rdfs:label,(color-color)@en)-rdf(odm:color-Color,skos:prefLabel,Color-Color^^xsd:string),downcase)	
sweet:propOrdinal/Visibility	visibility	odm:visibility	Visibility	visibility		info(label-label,rdf(sweet:propOrdinal/Visibility-visibility,rdfs:label,(visibility-visibility)@en)-rdf(odm:visibility-Visibility,skos:prefLabel,Visibility-Visibility^^xsd:string),downcase)	
sweet:propPressure/BarometricPressure	barometric pressure	odm:barometricPressure	Barometric pressure	barometric pressur		info(label-label,rdf(sweet:propPressure/BarometricPressure-barometric pressure,rdfs:label,(barometric pressure-barometric pressure)@en)-rdf(odm:barometricPressure-Barometric pressure,skos:prefLabel,Barometric pressure-Barometric pressure^^xsd:string),stem)	
sweet:propPressure/MomentumFlux	momentum flux	odm:momentumFlux	Momentum flux	momentum flux		info(label-label,rdf(sweet:propPressure/MomentumFlux-momentum flux,rdfs:label,(momentum flux-momentum flux)@en)-rdf(odm:momentumFlux-Momentum flux,skos:prefLabel,Momentum flux-Momentum flux^^xsd:string),downcase)	
sweet:propSpaceDistance/Distance	distance	odm:distance	Distance	distanc		info(label-label,rdf(sweet:propSpaceDistance/Distance-distance,rdfs:label,(distance-distance)@en)-rdf(odm:distance-Distance,skos:prefLabel,Distance-Distance^^xsd:string),stem)	
sweet:propSpaceHeight/Altitude	altitude	odm:altitude	Altitude	altitud		info(label-label,rdf(sweet:propSpaceHeight/Altitude-altitude,rdfs:label,(altitude-altitude)@en)-rdf(odm:altitude-Altitude,skos:prefLabel,Altitude-Altitude^^xsd:string),stem)	
sweet:propSpaceHeight/SecchiDepth	secchi depth	odm:secchiDepth	Secchi depth	secchi depth		info(label-label,rdf(sweet:propSpaceHeight/SecchiDepth-secchi depth,rdfs:label,(secchi depth-secchi depth)@en)-rdf(odm:secchiDepth-Secchi depth,skos:prefLabel,Secchi depth-Secchi depth^^xsd:string),downcase)	
sweet:propSpaceLocation/Position	position	odm:position	Position	posit		info(label-label,rdf(sweet:propSpaceLocation/Position-position,rdfs:label,(position-position)@en)-rdf(odm:position-Position,skos:prefLabel,Position-Position^^xsd:string),stem)	
sweet:propSpaceMultidimensional/Area	area	odm:area	Area	area		info(label-label,rdf(sweet:propSpaceMultidimensional/Area-area,rdfs:label,(area-area)@en)-rdf(odm:area-Area,skos:prefLabel,Area-Area^^xsd:string),downcase)	
sweet:propSpaceMultidimensional/Volume	volume	odm:volume	Volume	volum		info(label-label,rdf(sweet:propSpaceMultidimensional/Volume-volume,rdfs:label,(volume-volume)@en)-rdf(odm:volume-Volume,skos:prefLabel,Volume-Volume^^xsd:string),stem)	
sweet:propSpaceThickness/Evapotranspiration	evapotranspiration	odm:evapotranspiration	Evapotranspiration	evapotranspir		info(label-label,rdf(sweet:propSpaceThickness/Evapotranspiration-evapotranspiration,rdfs:label,(evapotranspiration-evapotranspiration)@en)-rdf(odm:evapotranspiration-Evapotranspiration,skos:prefLabel,Evapotranspiration-Evapotranspiration^^xsd:string),stem)	
sweet:propSpaceThickness/SnowWaterEquivalent	snow water equivalent	odm:snowWaterEquivalent	Snow water equivalent	snow water equival		info(label-label,rdf(sweet:propSpaceThickness/SnowWaterEquivalent-snow water equivalent,rdfs:label,(snow water equivalent-snow water equivalent)@en)-rdf(odm:snowWaterEquivalent-Snow water equivalent,skos:prefLabel,Snow water equivalent-Snow water equivalent^^xsd:string),stem)	
sweet:propSpaceThickness/WaterContent	water content	odm:waterContent	Water Content	water cont		info(label-label,rdf(sweet:propSpaceThickness/WaterContent-water content,rdfs:label,(water content-water content)@en)-rdf(odm:waterContent-Water Content,skos:prefLabel,Water Content-Water Content^^xsd:string),stem)	
sweet:propSpeed/Velocity	velocity	odm:velocity	Velocity	veloc		info(label-label,rdf(sweet:propSpeed/Velocity-velocity,rdfs:label,(velocity-velocity)@en)-rdf(odm:velocity-Velocity,skos:prefLabel,Velocity-Velocity^^xsd:string),stem)	
sweet:propSpeed/WindSpeed	wind speed	odm:windSpeed	Wind speed	wind spe		info(label-label,rdf(sweet:propSpeed/WindSpeed-wind speed,rdfs:label,(wind speed-wind speed)@en)-rdf(odm:windSpeed-Wind speed,skos:prefLabel,Wind speed-Wind speed^^xsd:string),stem)	
